"UID","Value","English","Orphan"
1506091247558190002,"DATESHIPPED","Date Shipped",No
1506091315091390003,"QUANTITYORDERED","Qty. Ordered",No
1506091316439590004,"QUANTITYSHIPPED","Qty. Shipped",No
1506091342196270006,"ERRORMOREINFO","Additional Error Information",No
1506091506157650007,"PROCEDURE","Procedure",No
1506091507127610008,"DOMAIN","Domain",No
1506091515214470011,"DEFAULTLANGUAGE","Default Language",No
1506091516504480012,"ENABLESSL","Enable SSL",No
1506091518059150013,"DEFAULTAREA","Default Area",No
1506091523019520015,"FROM","From",No
1506091523470140016,"ERRORLOG","Error Log",No
1506091529087490017,"DEFAULTPAGE","Default Page",No
1506091531501750018,"FILEDIRECTORY","File Directory",No
1506091534093390019,"DEFAULTTHEME","Default Theme",No
1506091535064570020,"DEFAULTSECTION","Default Section",No
1506091536081320021,"DATAONRIGHT","Data on Right",No
